name,bestRating,gamesPlayed,won,lost,winRatio,topTens,topTenRate,topTenWinRatio,killRating,highestKills,totalKills,headshots,headshotRatio,assists,k/d,vehiclesDestroyed,roadKills,longestKill,longestTimeSurvived,averageTimeSurvived,averageDistanceTravelled,damageDealt,weaponsAcquired
Drapor,2010.577,171,17,154,9.9%,56,32.7%,30.4%,1654.953,13,617,185,30.0%,28,4.0,3,4,339.0m,33m 08s,17m 12s,2.93 km,"75,246","1,013"
KoRn-11,1968.473,56,3,53,5.4%,28,50.0%,10.7%,1277.908,6,79,20,25.3%,8,1.5,0,2,345.2m,34m 19s,23m 05s,5.01 km,"9,786",314
Wildo1,1941.804,27,5,22,18.5%,16,59.3%,31.2%,1507.568,8,73,20,27.4%,7,3.3,0,1,277.4m,32m 49s,24m 05s,6.46 km,"8,570",141
airTeDo,1945.926,44,1,43,2.3%,26,59.1%,3.8%,1250.393,4,34,11,32.4%,6,0.8,0,0,101.2m,36m 23s,24m 06s,5.48 km,"4,715",266
A_c_3_d,1967.146,79,0,79,0.0%,30,38.0%,0.0%,1379.128,7,108,25,23.1%,9,1.4,2,1,307.3m,32m 47s,19m 22s,5.98 km,"14,240",455
twitch_B1ueV1ruS,1957.984,50,9,41,18.0%,20,40.0%,45.0%,1617.354,15,209,72,34.4%,9,5.1,2,0,281.7m,32m 45s,18m 53s,3.64 km,"23,602",290
Jedi_Trump,1931.066,35,5,30,14.3%,17,48.6%,29.4%,1466.902,8,79,34,43.0%,7,2.6,3,3,378.5m,31m 24s,20m 56s,4.70 km,"9,929",190
SuperSalsa,1946.657,65,2,63,3.1%,24,36.9%,8.3%,1263.741,3,43,7,16.3%,6,0.7,0,2,187.5m,32m 41s,21m 55s,5.11 km,"5,812",503
DisposablePussy,1962.468,105,12,93,11.4%,23,21.9%,52.2%,1757.492,14,395,136,34.4%,16,4.2,0,0,399.5m,32m 39s,14m 26s,2.59 km,"44,276",538
HoloPlaysGames,1933.196,33,3,30,9.1%,10,30.3%,30.0%,1575.695,10,95,22,23.2%,5,3.2,0,1,285.0m,31m 26s,18m 07s,4.08 km,"11,067",198
GhostyFrost,1939.021,36,3,33,8.3%,15,41.7%,20.0%,1466.719,7,83,15,18.1%,4,2.5,0,0,261.6m,35m 00s,20m 38s,3.00 km,"9,833",211
xPro-Butterrz,1927.169,36,9,27,25.0%,16,44.4%,56.2%,1515.067,9,104,26,25.0%,9,3.9,3,0,258.9m,31m 07s,19m 51s,4.23 km,"12,965",174
Peanut_Arbuckle,1952.333,50,11,39,22.0%,21,42.0%,52.4%,1620.287,9,165,38,23.0%,9,4.2,2,1,385.3m,35m 17s,18m 17s,4.15 km,"19,358",291
AddySeth,1935.065,39,3,36,7.7%,16,41.0%,18.8%,1482.57,10,106,33,31.1%,12,2.9,0,1,259.9m,34m 04s,19m 39s,4.13 km,"14,072",259
Wyregaming,1931.682,48,2,46,4.2%,15,31.2%,13.3%,1539.338,12,138,44,31.9%,9,3.0,2,1,292.3m,32m 11s,17m 56s,3.80 km,"17,509",241
TwitchTV_1h0g,1937.761,36,8,28,22.2%,12,33.3%,66.7%,1480.044,12,115,40,34.8%,6,4.1,3,4,295.3m,32m 10s,19m 30s,5.73 km,"13,391",188
Melgibson89,1939,38,5,33,13.2%,19,50.0%,26.3%,1455.54,9,89,20,22.5%,5,2.7,3,2,240.3m,35m 36s,21m 18s,5.17 km,"10,717",201
Tar-Efeldir,1963.315,45,7,38,15.6%,17,37.8%,41.2%,1577.907,12,174,55,31.6%,2,4.6,1,0,407.6m,32m 30s,18m 41s,3.18 km,"21,134",250
eLe-Everyone,1925.047,45,1,44,2.2%,18,40.0%,5.6%,1342.979,5,69,17,24.6%,5,1.6,0,1,202.7m,31m 09s,20m 17s,3.43 km,"8,961",233
Zybane,1907.147,24,6,18,25.0%,16,66.7%,37.5%,1407.467,7,55,13,23.6%,4,3.1,0,0,326.1m,32m 42s,24m 56s,4.64 km,"6,719",110
robotboifresh,1910.101,24,4,20,16.7%,14,58.3%,28.6%,1506.552,7,77,22,28.6%,3,3.9,0,1,351.3m,32m 39s,22m 32s,6.50 km,"8,819",147
Twitch_BobStaMan,1922.883,33,6,27,18.2%,17,51.5%,35.3%,1418.078,11,82,25,30.5%,9,3.0,1,0,329.0m,32m 12s,21m 04s,5.49 km,"10,106",216
HossamGhaly,1940.418,45,3,42,6.7%,14,31.1%,21.4%,1481.024,7,104,21,20.2%,6,2.5,2,1,273.8m,32m 32s,18m 35s,2.71 km,"12,200",245
par4gon,1912.182,18,3,15,16.7%,12,66.7%,25.0%,1443.331,5,56,17,30.4%,1,3.7,1,1,252.5m,33m 29s,26m 56s,6.66 km,"6,020",104
KMwing,1926.959,106,0,106,0.0%,27,25.5%,0.0%,1145.848,2,9,4,44.4%,4,0.1,0,1,29.9m,31m 49s,20m 07s,5.24 km,"1,891",460
JohnnyLaw1222,1923.56,48,2,46,4.2%,12,25.0%,16.7%,1356.238,6,56,8,14.3%,13,1.2,1,2,326.5m,33m 35s,19m 15s,4.69 km,"7,564",351
StaticNull,1930.079,58,2,56,3.4%,20,34.5%,10.0%,1383.934,7,78,26,33.3%,3,1.4,1,0,224.0m,32m 49s,19m 05s,2.55 km,"9,338",322
SixFootFourLife,1909.144,25,4,21,16.0%,15,60.0%,26.7%,1537.352,12,95,31,32.6%,7,4.5,1,2,274.1m,32m 44s,21m 30s,3.26 km,"11,614",127
Wazatch,1931.376,51,4,47,7.8%,23,45.1%,17.4%,1339.509,6,80,13,16.2%,6,1.7,2,2,187.5m,36m 09s,19m 36s,3.47 km,"9,481",226
hodA,1919.511,62,6,56,9.7%,16,25.8%,37.5%,1523.005,7,128,29,22.7%,10,2.3,1,1,329.3m,32m 37s,16m 35s,3.42 km,"16,313",223
Twitch-TVCalico,1904.836,26,4,22,15.4%,10,38.5%,40.0%,1678.842,15,154,44,28.6%,8,7.0,0,1,250.5m,32m 17s,18m 02s,3.45 km,"16,244",132
xphantomxxxx,1939.728,50,5,45,10.0%,20,40.0%,25.0%,1375.478,7,101,30,29.7%,4,2.2,0,1,216.7m,32m 43s,20m 21s,4.05 km,"12,656",312
P0S3R99,1915.538,23,3,20,13.0%,11,47.8%,27.3%,1470.629,7,57,26,45.6%,5,2.9,0,1,309.2m,35m 29s,22m 40s,4.60 km,"7,127",156
guitarhero23,1923.985,33,3,30,9.1%,16,48.5%,18.8%,1362.179,6,51,10,19.6%,3,1.7,0,3,285.3m,33m 11s,21m 56s,7.69 km,"7,009",209
tinyscreams,1902.256,27,2,25,7.4%,12,44.4%,16.7%,1474.703,10,72,15,20.8%,7,2.9,0,0,244.8m,34m 52s,20m 23s,3.90 km,"9,699",131
EdManaP,1917.369,41,1,40,2.4%,13,31.7%,7.7%,1405.027,8,76,15,19.7%,1,1.9,0,0,242.8m,33m 12s,18m 08s,3.04 km,"8,722",218
S8cret,1905.938,43,1,42,2.3%,9,20.9%,11.1%,1476.372,11,104,25,24.0%,2,2.5,0,0,222.2m,32m 15s,17m 40s,4.15 km,"12,493",203
